LCSC Part Number,Quantity,Designator,Description,Priority,Note
C22447934,10,D502,"IR emitter ~810nm JNJ-L-3535AW30-80530-SL-J2-D3 SMD3535",A,SCARCE - order first - VERIFY peak wavelength on datasheet
C2922448,3,U301,"ADS131M02IPWR 24-bit 2ch simultaneous ADC TSSOP-20",A,Scarce part class - pre-buy
C2913206,3,U201,"ESP32-S3-MINI-1-N8 module",B,
C30878,6,"U401,U402","OPA333AIDBVR zero-drift opamp SOT-23-5",B,Transimpedance amplifiers
C7377,6,"U403,U404","MCP6002T-I/SN dual opamp SOIC-8",B,LED current sinks + bias buffer
C3151612,6,"D401,D402","VEMD5010X01 photodiode SMD-4P 5x4mm",B,
C53191416,5,D501,"CT-3030SUR660/850C-PT dual-die 660nm+850nm SMD3030-4P",B,
C16581,3,U102,"TP4056-42 LiPo charger ESOP-8",B,
C404027,6,"U103,U104","TLV75533PDBVR 3.3V LDO SOT-23-5",B,
C2687116,3,U101,"USBLC6-2SC6 USB ESD SOT-23-6",B,
C15127,10,"Q101,Q102","AO3401A P-channel MOSFET SOT-23",B,JLC Basic
C20917,10,"Q501-Q503","AO3400A N-channel MOSFET SOT-23",B,JLC Basic
C8545,15,"Q103,Q104,Q504-Q506","2N7002 N-channel MOSFET SOT-23",B,JLC Basic
C8678,5,D101,"SS34 Schottky diode SMA",B,JLC Basic
C2765186,5,J101,"USB Type-C 16-pin receptacle SMD",B,
C49247666,5,RT401,"NTC 10K B3950 0603",B,Head temperature sense
