site,n_test,auroc,mae,prevalence,note
Komfo Anokye Teaching Hospital,94,0.703020993343574,1.4373272572208295,0.32978723404255317,
Ahmadiyya Muslim Hospital,87,0.8120300751879699,1.409632703646383,0.4367816091954023,
Sunyani Municipal Hospital,74,0.7887426900584795,1.393831523442482,0.4864864864864865,
Bolgatanga Regional Hospital,63,0.7641129032258065,1.6682118504305252,0.5079365079365079,
Nkawie-Toase Government Hospital,55,0.8641456582633054,1.416822807463454,0.6181818181818182,
Kintampo Municipal Hospital,40,0.6879795396419437,1.6478641025624352,0.575,
Manhyia District Hospital,28,0.875,1.2679988688860142,0.5714285714285714,
Ejusu Government Hospital,24,0.8814814814814815,1.3248045927144096,0.625,
SDA Hospital,11,1.0,1.8731589869126593,0.8181818181818182,
Holy Family Hospital,3,,,,too few samples
