feature,importance,sd
s_mean,0.07286381693873895,0.043001903651617934
redness_p10,0.05460560100960338,0.03206330993987222
h_mean,0.040231828867104316,0.02889898504329542
redness_index,0.03920356837913736,0.026160091631855148
r_mean,0.03401197225748051,0.023695274276025306
lab_b,0.022397191174979857,0.026254482204043684
b_mean,0.021228422699468053,0.01940709530033749
lab_l,0.01848837839681047,0.019174712382974888
lab_a,0.01834432106579888,0.015855418358363293
h_concentration,0.016707855671856817,0.018364254313640513
rg_ratio,0.012837197137282961,0.012672873307981959
g_mean,0.006425907443295545,0.015000149720073394
